number,value,datetime_start,datetime_complete,duration,params_batch_size,params_fusion_dropout,params_fusion_x1,params_fusion_x2,params_fusion_x3,params_ground_activation,params_ground_graph_layers,params_ground_hidden_size,params_ground_time_layers,params_huber_delta,params_lr,params_lr_factor,params_lr_patience,params_max_grad_norm,params_sat_conv1_channels,params_sat_conv2_channels,params_sat_feature_dim,params_sat_head_hidden_dim,params_sat_temporal_layers,params_weight_decay,state
50,0.016956031629402648,2026-02-04 00:53:24.728284,2026-02-04 01:03:26.522753,0 days 00:10:01.794469,128,0.2575597423257413,128,16,32,gelu,1,64,2,0.18077180196923487,0.0033564753330295838,0.631528681821276,6,1.5939920211353065,32,128,64,32,1,8.138325017849492e-05,PRUNED
51,0.0289924832710055,2026-02-04 01:03:26.532364,2026-02-04 01:13:37.769089,0 days 00:10:11.236725,64,0.13446988789936193,32,32,16,gelu,1,64,2,0.3912706733472583,0.000532463394492872,0.6008627114444245,4,2.5489742996105074,32,128,32,32,2,0.00019305000785150856,PRUNED
52,0.017068095168164533,2026-02-04 01:13:37.777218,2026-02-04 01:23:06.381199,0 days 00:09:28.603981,64,0.2926239501618694,32,32,32,gelu,1,64,2,0.1990661911614544,0.0009906949194716404,0.577518667743726,4,2.3882320008090803,32,128,64,32,1,1.4106018889852675e-05,PRUNED
53,0.010142782493803485,2026-02-04 01:23:06.392733,2026-02-04 01:47:27.655338,0 days 00:24:21.262605,64,0.3035391969699403,32,32,32,gelu,1,64,2,0.10248319258408652,0.0010203432814672594,0.6493584046175148,4,2.0324629125173015,32,128,64,32,1,1.0402554610490074e-05,COMPLETE
54,0.01014928395313284,2026-02-04 01:47:27.673072,2026-02-04 02:10:58.414140,0 days 00:23:30.741068,64,0.31006070775708083,32,32,32,gelu,1,64,2,0.10266557525904435,0.002126504625693579,0.651765292636752,5,2.0301628065012784,32,128,64,32,1,9.693155141341489e-06,COMPLETE
55,0.02064610712770487,2026-02-04 02:10:58.424516,2026-02-04 02:21:07.126314,0 days 00:10:08.701798,64,0.35805043087564326,32,32,32,gelu,1,64,2,0.32324359029271277,0.0003423073571946971,0.6537586248712083,3,2.0890309203853055,32,128,64,32,1,3.729086847145638e-06,PRUNED
56,0.02058843545454071,2026-02-04 02:21:07.135810,2026-02-04 02:31:17.760142,0 days 00:10:10.624332,64,0.31251198734327673,32,32,32,gelu,1,64,2,0.5296385210401233,0.0061499760437462685,0.6731489399743283,5,2.2401013428309478,32,128,64,32,1,2.0720057080848245e-05,PRUNED
57,0.017276222565247235,2026-02-04 02:31:17.769757,2026-02-04 02:41:22.693822,0 days 00:10:04.924065,64,0.3921886950341822,32,64,8,gelu,1,64,2,0.25589803457878535,0.0028235451865474635,0.6989077262560902,4,2.005277510758673,32,128,64,32,1,1.0298601217230415e-05,PRUNED
58,0.01588648382041274,2026-02-04 02:41:22.701413,2026-02-04 02:51:43.537903,0 days 00:10:20.836490,32,0.3230959946352237,64,32,32,gelu,1,32,2,0.182571580553987,0.00415554332122821,0.6401344660748285,5,2.8247112413525075,32,128,64,64,3,9.062970216965208e-06,PRUNED
59,0.00994514307057242,2026-02-04 02:51:43.546091,2026-02-04 03:17:36.598385,0 days 00:25:53.052294,64,0.3021758623907227,32,32,32,gelu,1,64,2,0.10204075966116578,0.0013530073706800676,0.6139760725986158,10,1.7746040232825477,32,128,64,32,1,5.80593757936504e-06,COMPLETE
